,Group,dataset_vc[C(dataset)[Banovich_Kropski_2020]],dataset_vc[C(dataset)[Barbry_Leroy_2020]],dataset_vc[C(dataset)[Budinger_2020]],dataset_vc[C(dataset)[Duong_lungMAP_unpubl]],dataset_vc[C(dataset)[Eils_2020]],dataset_vc[C(dataset)[Gomperts2021_UCLA]],dataset_vc[C(dataset)[Gomperts_2021_CFF]],dataset_vc[C(dataset)[Gomperts_2021_CSMC]],dataset_vc[C(dataset)[Kaminski_2020]],dataset_vc[C(dataset)[Krasnow_2020]],dataset_vc[C(dataset)[Lafyatis_2019]],dataset_vc[C(dataset)[Lafyatis_Rojas_2019_10Xv1]],dataset_vc[C(dataset)[Lafyatis_Rojas_2019_10Xv2]],dataset_vc[C(dataset)[Lambrechts_2021]],dataset_vc[C(dataset)[MeyerNikolic_unpubl_UCL]],dataset_vc[C(dataset)[Meyer_2019]],dataset_vc[C(dataset)[Meyer_2021_3prime]],dataset_vc[C(dataset)[Meyer_2021_5prime]],dataset_vc[C(dataset)[Misharin_2021]],dataset_vc[C(dataset)[Misharin_Budinger_2018]],dataset_vc[C(dataset)[Nawijn_2021]],dataset_vc[C(dataset)[Peer_Massague_2020]],dataset_vc[C(dataset)[Regev_2021_Cryo]],dataset_vc[C(dataset)[Regev_2021_Fresh]],dataset_vc[C(dataset)[Regev_2021_Nuclei]],dataset_vc[C(dataset)[Schiller_2020]],dataset_vc[C(dataset)[Schiller_2021]],dataset_vc[C(dataset)[Schultze_unpubl]],dataset_vc[C(dataset)[Seibold_2020_10Xv2]],dataset_vc[C(dataset)[Seibold_2020_10Xv3]],dataset_vc[C(dataset)[Shalek_2018]],dataset_vc[C(dataset)[Sheppard_2020]],dataset_vc[C(dataset)[Sun_2020_batch1]],dataset_vc[C(dataset)[Sun_2020_batch2]],dataset_vc[C(dataset)[Sun_2020_batch3]],dataset_vc[C(dataset)[Sun_2020_batch4]],dataset_vc[C(dataset)[Tata_unpubl]],dataset_vc[C(dataset)[Teichmann_Meyer_2019]],dataset_vc[C(dataset)[Thienpont_2018_10Xv1]],dataset_vc[C(dataset)[Thienpont_2018_10Xv2]],dataset_vc[C(dataset)[Wunderink_2021_cryo]],dataset_vc[C(dataset)[Wunderink_2021_fresh]],dataset_vc[C(dataset)[Xu_2020_LAM1_3]],dataset_vc[C(dataset)[Zhang_2021]]
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,8.334665701003887e-06,0.0,0.0,0.0,0.0,8.334665701003887e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747368C,-0.00767647430008603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00767647430008603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26,-0.00028774079178668687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028774079178668687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37,-0.0032318825098921963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032318825098921963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40,-0.002743257803237909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002743257803237909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43,-0.0006183359721721859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006183359721721859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44,-2.346759766016112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.346759766016112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A9LCTZng,-0.0024329669129097,0.0,0.0,0.0,0.0,-0.0024329669129097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1,0.0017703976975932067,0.0,0.0,0.0017703976975932067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D032,0.0007118712625924053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007118712625924053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046,0.0006148226437310923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006148226437310923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062,0.0072417656699425015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072417656699425015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D088,0.0010585210060289982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010585210060289982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122,0.0008933598516320232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008933598516320232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139,0.0006832106208866627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006832106208866627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150,0.000980829603147412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000980829603147412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D175,-0.0006161099028380533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006161099028380533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D231,-0.0002687848906344577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002687848906344577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239,0.002719858770150833,0.0,0.0,0.0,0.002719858770150833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q,0.0008834727664971719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008834727664971719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q,-6.045058559677595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.045058559677595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R,-0.004445967520287999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004445967520287999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng,-0.0006961402287711659,0.0,0.0,0.0,0.0,-0.0006961402287711659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01,-0.002742841603525571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002742841603525571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
